"","uid","date","incident text","district","state","attributed organizations"
"1",1,"2000-04-10","a fresh encounter broke out in the same district on april 10 when security forces conducting search operations in nathapora came under fire from militants. four militants were killed and one civilian was injured.",NA,NA,NA
"2",2,"2000-04-10","five activists of the militant left wing group (naxals) were killed in an encounter in khammam district of andhra pradesh on april 10.",NA,"andhra pradesh",NA
"3",3,"2000-04-10","meanwhile, three foreign militants were killed in nathpora area of bandipora on april 10. some arms, ammunition, explosives and a radio set were recovered from the encounter in which one civilian was critical injured.","bandipora","jammu and kashmir",NA
"4",4,"2000-04-12","three militants of the let were killed in an encounter in dhar sangla forests of poonch district.","poonch","jammu and kashmir",NA
"5",5,"2000-04-12","two militants, a security force personnel and a civilian were killed in an encounter at gool, udhampur district.","udhampur","jammu and kashmir",NA
"6",6,"2000-04-13","insurgency continued on a low key in jammu and kashmir where seven militants were killed and three arrested since the night of april 13.three militants, identified as members of the hizbul mujahideen (hm), were killed by security forces in mahore area of udhampur district on the night of april 13.","jammu","jammu and kashmir","hizbul mujahideen"
"7",7,"2000-04-14","meanwhile, delayed reports said that 12 bengalis were killed by suspected all tripura tiger force (attf) militants in the khas kalyanpur area, west tripura district, on april 14.",NA,"tripura","all tripura tiger force"
"8",8,"2000-04-15","in other incidents during the same day, two unidentified militants were killed in kotli, rajouri, while three hizbul mujahideen militants were killed in a raid conducted by security forces on their hideout in handwara area, kupwara district.","kupwara","jammu and kashmir","hizbul mujahideen"
"9",9,"2000-04-16","ethnic riots continued to rage in tripura with national liberation front of tripura (nlft) militants killing 13 people on april 16. several houses were also torched during this attack carried out by 30 armed nlft militants in khowai subdivision, west tripura district.",NA,"tripura","national liberation front of tripura"
"10",10,"2000-04-16","four militants were killed and 11 security personnel injured in jammu and kashmir on the night of april 16. the slain militants have been identified as members of the al badr. the incident occurred at burzahama on the outskirts of srinagar.","jammu","jammu and kashmir","hizbul mujahideen"
"11",11,"2000-04-16","in another incident, security forces faced a major debacle on april 16, when a raiding party came under heavy militant fire leaving six security force personnel and two civilians dead while one policeman was injured. reinforcements have been rushed to the site in mandi area of poonch district and the encounter is still on.","poonch","jammu and kashmir",NA
"12",12,"2000-04-16","three militants of the united liberation front of asom (ulfa) were killed in an encounter with police at tulasijhora near bijni on april16.",NA,NA,"united liberation front of assam "
"13",13,"2000-04-19","ethnic riots continued to rage in tripura with 9 persons killed on april 19. while the tribal rebel group national liberation front of tripura (nlft) killed eight people in laxmipur, suspected militants of united bengali liberation force (ublf) killed one person and injured six others in two separate bomb attacks in north and west districts of tripura.",NA,"tripura","national liberation front of tripura"
"14",14,"2000-04-19","militants of the karbi national volunteer force (knvf) struck again in assam killing 11 nepalese in assam's hill district of karbi anglong on april 19. this is the second major massacre by the group in this month. several houses were burnt down by the marauding ultras before fleeing from the site.",NA,"assam",NA
"15",15,"2000-04-21","11 militants and two security forces personnel were killed in different parts of jammu and kashmir on april 21. militants also set off several explosions in the state. in separate encounters, four militants were killed in banihal, doda district and three in mahore. one soldier was injured. police believe that all the killed militants were foreigners.","doda","jammu and kashmir","hizbul mujahideen"
"16",16,"2000-04-21","three militants, identified as hizb ul mujahideen members, were killed in gund e omer, anantnag district.","anantnag","jammu and kashmir","hizbul mujahideen"
"17",17,"2000-04-22","one lashkar e toiba (let) militant was killed in potah, poonch district, on april 22 in a sneak attack on an army camp by a suicide squad comprising two let militants. militants claimed that a subedar and 25 jawans were  killed in the attack. a defence ministry spokesman, however, said that 16 personnel of the rashtriya rifles who were on patrol duty in the area came under attack. two soldiers were killed and another two were injured..  a massive combing operation has been launched in the potha forests.","poonch","jammu and kashmir","lashkar e taiba"
"18",18,"2000-04-23","karbi militants, who are on a killing spree, struck again on april 23, killing six labourers at akhoiphuta, karbi anglong district, assam.  with these, the total number of lives claimed by karbi militants during the last fortnight rose to 28.",NA,"assam",NA
"19",19,"2000-04-26","five border security force (bsf) personnel were killed and five others including the deputy commandant injured in a mine blast set off by militants in jammu and kashmir on april 26. a deputy commandant and four others received grievous injuries in this blasts which occurred in rs pora.","jammu","jammu and kashmir","hizbul mujahideen"
"20",20,"2000-04-26","in a police encounter at thllavellamla in nalgonda district on april 26 six left wing extremists belonging to the rachkonda squad were killed. the dead belonged to the people's  war group (pwg).",NA,NA,"communist party of india (marxist-leninist) people’s war "
"21",21,"2000-04-27","andhra pradesh police achieved a success in their fight against left wing extremists, naxalites, on april 27, when 12 extremists of the peoples’ war group (pwg) were killed in kavakondaguttala village, warangal district, in an eight hour long encounter.",NA,"andhra pradesh","communist party of india (marxist-leninist) people’s war "
"22",22,"2000-04-28","four unidentified militants were killed at peer panchal devasa (mahore sector) on april 28. a security force personnel was injured in the encounter. in another encounter at heera nagar in jammu division, two militants of the lashkar e toiba were killed.","jammu","jammu and kashmir","lashkar e taiba"
"23",23,"2000-04-29","in another encounter, militants killed three special police officers (spos) in patnazi area of doda district, on april 29.","doda","jammu and kashmir",NA
