"","date","incident"
"1",2000-04-10,"A fresh encounter broke out in the same district on April 10 when security forces conducting search operations in Nathapora came under fire from militants. Four militants were killed and one civilian was injured."
"2",2000-04-10,"Five activists of the militant left-wing group (Naxals) were killed in an encounter in Khammam district of Andhra Pradesh on April 10."
"3",2000-04-10,"Meanwhile, three foreign militants were killed in Nathpora area of Bandipora on April 10. Some arms, ammunition, explosives and a radio set were recovered from the encounter in which one civilian was critical injured."
"4",2000-04-12,"Three militants of the LeT were killed in an encounter in Dhar Sangla forests of Poonch district."
"5",2000-04-12,"Two militants, a security force personnel and a civilian were killed in an encounter at Gool, Udhampur district."
"6",2000-04-13,"Insurgency continued on a low key in Jammu and Kashmir where seven militants were killed and three arrested since the night of April 13.Three militants, identified as members of the Hizbul Mujahideen (HM), were killed by security forces in Mahore area of Udhampur district on the night of April 13."
"7",2000-04-14,"Meanwhile, delayed reports said that 12 Bengalis were killed by suspected All Tripura Tiger Force (ATTF) militants in the Khas Kalyanpur area, West Tripura district, on April 14."
"8",2000-04-15,"In other incidents during the same day, two unidentified militants were killed in Kotli, Rajouri, while three Hizbul Mujahideen militants were killed in a raid conducted by security forces on their hideout in Handwara area, Kupwara district."
"9",2000-04-16,"Ethnic riots continued to rage in Tripura with National Liberation Front of Tripura (NLFT) militants killing 13 people on April 16. Several houses were also torched during this attack carried out by 30 armed NLFT militants in Khowai subdivision, West Tripura district."
"10",2000-04-16,"Four militants were killed and 11 security personnel injured in Jammu and Kashmir on the night of April 16. The slain militants have been identified as members of the Al Badr. The incident occurred at Burzahama on the outskirts of Srinagar."
"11",2000-04-16,"In another incident, security forces faced a major debacle on April 16, when a raiding party came under heavy militant fire leaving six security force personnel and two civilians dead while one policeman was injured. Reinforcements have been rushed to the site in Mandi area of Poonch district and the encounter is still on."
"12",2000-04-16,"Three militants of the United Liberation Front of Asom (ULFA) were killed in an encounter with police at Tulasijhora near Bijni on April16."
